Category,Latitude,Longitude
Business,27.757488,85.3487873
Business,27.7573806,85.3489035
Business,27.75736,85.348935
Business,27.7572167,85.3490372
Business,27.7571952,85.3491212
Business,27.7571434,85.3492617
Business,27.7571124,85.3494148
Business,27.75712,85.349425
Business,27.7571529,85.349475
Business,27.7572233,85.3495833
Business,27.7573635,85.3496666
Business,27.7575704,85.3495693
Business,27.7576733,85.3493949
Business,27.757711,85.3496019
Business,27.7578527,85.3497937
Business,27.7579089,85.3499461
Business,27.752565,85.341635
Business,27.7524681,85.341379
Business,27.7522811,85.3406983
Business,27.7521569,85.3401547
Business,27.7528672,85.3399153
Business,27.753781,85.3393497
Business,27.757955,85.349855
Business,27.7580333,85.3498583
Business,27.758035,85.349935
Business,27.7581355,85.3500486
Business,27.7583283,85.3502073
Business,27.7580817,85.34917
Business,27.757939,85.3498541
Business,27.7561492,85.3455311
Business,27.7563939,85.3456872
Business,27.7520854,85.3399567
Business,27.7523046,85.3422431
Business,27.752561,85.3419781
Business,27.7525388,85.3420046
Business,27.7523435,85.3421946
Business,27.7524267,85.3436337
Business,27.7523763,85.3445446
Business,27.7526248,85.3447185
Business,27.7523067,85.3426082
Business,27.7525086,85.3436559
Business,27.7524314,85.3445208
Business,27.7524774,85.3415758
Business,27.7525017,85.3414367
Business,27.7522966,85.3404933
Business,27.7527202,85.3401176
Business,27.7530806,85.3399823
Business,27.7538512,85.3394146
Business,27.7541908,85.3388145
Business,27.7547621,85.3388211
Business,27.759164,85.3505969
Business,27.7593717,85.3509448
Business,27.759415,85.3510214
Business,27.7596465,85.3512059
Business,27.759637,85.3512791
Business,27.7599159,85.3512956
Business,27.7600261,85.3513513
Business,27.7600499,85.3513644
Business,27.7605157,85.3500706
Business,27.7605355,85.3500385
Business,27.7605233,85.3500283
Business,27.7604388,85.3495785
Business,27.7587178,85.3491361
Business,27.749233,85.3419759
Business,27.7492409,85.3419873
Business,27.7503224,85.3423247
Business,27.7492029,85.3408871
Business,27.7488905,85.340455
Business,27.7483684,85.3413745
Business,27.7519507,85.3401154
Business,27.752342,85.3407673
Business,27.7521591,85.3444002
