Category,Latitude,Longitude
Residential,27.7672253,85.3442862
Residential,27.7673041,85.3448885
Residential,27.7664381,85.3461242
Residential,27.7662447,85.3457108
Residential,27.7686006,85.3458839
Residential,27.7685103,85.3457344
Residential,27.7686283,85.3453739
Residential,27.76865,85.3454934
Residential,27.7687472,85.3456584
Residential,27.7683361,85.3454845
Residential,27.7681249,85.3444018
Residential,27.7679777,85.343954
Residential,27.7677423,85.3446705
Residential,27.7677534,85.3444612
Residential,27.7677951,85.3444575
Residential,27.7679888,85.344283
Residential,27.7679479,85.3443607
Residential,27.7683401,85.3433851
Residential,27.7678111,85.3435444
Residential,27.768555,85.3458317
Residential,27.7684659,85.3458582
Residential,27.7678504,85.3443338
Residential,27.7684725,85.3457533
Residential,27.768582,85.3456866
Residential,27.768411,85.3454076
Residential,27.7683378,85.3450256
Residential,27.7683539,85.3449289
Residential,27.7680814,85.344477
Residential,27.768008,85.3443
Residential,27.7677048,85.344531
Residential,27.7677447,85.3433909
Residential,27.767702,85.3435942
Residential,27.7676867,85.3429023
Residential,27.7680975,85.3431311
Residential,27.7680064,85.3429915
Residential,27.7737759,85.3458478
Residential,27.7742499,85.3527856
Residential,27.7733597,85.352654
Residential,27.7731117,85.3525582
Residential,27.7737426,85.3526286
Residential,27.7737653,85.3523748
Residential,27.773863,85.3525613
Residential,27.7734539,85.3525841
Residential,27.7733785,85.3527298
Residential,27.773902,85.3525719
Residential,27.7738929,85.3521499
Residential,27.7730722,85.3511784
Residential,27.7730709,85.3511496
Residential,27.7738331,85.3521583
Residential,27.7731481,85.3513452
Residential,27.7730167,85.3512051
Residential,27.7731306,85.3511685
Residential,27.7746326,85.3532071
Residential,27.7704151,85.3484906
Residential,27.7700921,85.3481458
Residential,27.7703705,85.3478115
Residential,27.7699801,85.3480668
Residential,27.7664729,85.3420649
Residential,27.7700932,85.3569204
Residential,27.7702253,85.3567512
Residential,27.7702891,85.356369
Residential,27.7703714,85.3564225
Residential,27.7700339,85.3570236
Residential,27.7725932,85.3576094
Residential,27.7727162,85.3573629
Residential,27.7726426,85.3576586
Residential,27.7718978,85.3582944
Residential,27.7721952,85.3574161
Residential,27.7684494,85.348905
Residential,27.7683627,85.348769
Residential,27.7684107,85.3491861
Residential,27.770665,85.3563583
Residential,27.7705575,85.3573746
Residential,27.7703945,85.3572619
Residential,27.7705912,85.3570626
Residential,27.7707052,85.3564335
Residential,27.7706437,85.3570646
Residential,27.7704947,85.3570245
Residential,27.7707309,85.3571241
Residential,27.7704358,85.3569351
Residential,27.7695877,85.3562788
Residential,27.7703594,85.3563724
Residential,27.7731908,85.34695
Residential,27.7730626,85.3451373
Residential,27.7741429,85.3459029
Residential,27.7744769,85.3459197
Residential,27.7731959,85.3523178
Residential,27.7733,85.352285
Residential,27.7733918,85.3526296
Residential,27.7711846,85.3534082
Residential,27.7713353,85.3531116
Residential,27.7734325,85.3522321
Residential,27.7688421,85.3541651
Residential,27.7694363,85.3536493
Residential,27.7688217,85.3537217
Residential,27.7683963,85.3548919
Residential,27.7693335,85.3549241
Residential,27.769392,85.355121
Residential,27.7680776,85.3551014
Residential,27.7692421,85.3550145
Residential,27.7695279,85.3551075
Residential,27.7729083,85.3574137
Residential,27.7684329,85.349226
Residential,27.7733333,85.3523103
Residential,27.7732473,85.3515311
Residential,27.768697,85.3479062
Residential,27.7681512,85.3470635
Residential,27.7743236,85.3441903
Residential,27.7742022,85.3438985
Residential,27.7730568,85.346698
Residential,27.773493,85.3525928
Residential,27.7685059,85.3498235
Residential,27.7682539,85.3494639
Residential,27.7683919,85.349871
Residential,27.7682877,85.3495769
Residential,27.7734859,85.3521769
Residential,27.769537,85.3564055
Residential,27.7695622,85.356345
Residential,27.769564,85.3565933
Residential,27.7694443,85.3561997
Residential,27.7753078,85.3443587
Residential,27.7741693,85.3440168
Residential,27.775231,85.3438529
Residential,27.7747561,85.3536441
Residential,27.7735798,85.3528086
Residential,27.7701455,85.3537485
Residential,27.77026,85.3537032
Residential,27.7704224,85.3539011
Residential,27.770158,85.3537499
Residential,27.7703775,85.3536116
Residential,27.7707279,85.3534235
Residential,27.7713033,85.3531034
Residential,27.7715016,85.35276
Residential,27.770475,85.3522583
Residential,27.7710173,85.3533837
Residential,27.7714428,85.353145
Residential,27.7703111,85.3524681
Residential,27.7707303,85.3533798
Residential,27.7709117,85.353245
Residential,27.770547,85.3522667
Residential,27.770779,85.3521865
Residential,27.7707359,85.3526132
Residential,27.7709621,85.3524816
Residential,27.7725655,85.3538389
Residential,27.7725929,85.3538788
Residential,27.7724817,85.3527646
Residential,27.7726285,85.3528804
Residential,27.7743349,85.35358
Residential,27.7726783,85.3537201
Residential,27.7687604,85.3469646
Residential,27.7684665,85.3478312
Residential,27.7686918,85.3467493
Residential,27.7659785,85.3421423
Residential,27.7660117,85.3418633
Residential,27.765595,85.3437267
Residential,27.766025,85.341805
Residential,27.7667017,85.34405
Residential,27.7672051,85.3442358
Residential,27.7666665,85.3440526
Residential,27.7672083,85.34422
Residential,27.7674359,85.3442257
Residential,27.775171,85.3440862
Residential,27.772469,85.3455292
Residential,27.7682723,85.3491812
Residential,27.7682685,85.3494168
Residential,27.7681517,85.349323
Residential,27.7680238,85.3423837
Residential,27.7675245,85.3432426
Residential,27.7662473,85.3437732
Residential,27.7686395,85.3422798
Residential,27.7687054,85.3418762
Residential,27.7675285,85.3417
Residential,27.7730935,85.3547661
Residential,27.7748452,85.3546977
Residential,27.7751378,85.3543319
Residential,27.7726636,85.3531803
Residential,27.7724147,85.3452201
Residential,27.7735332,85.3452738
Residential,27.7761836,85.3425617
Residential,27.7760499,85.3425062
Residential,27.7763703,85.3422139
Residential,27.7707002,85.3570875
Residential,27.7693622,85.3565794
Residential,27.7699605,85.3560291
Residential,27.7695115,85.3564154
Residential,27.7706736,85.3569902
Residential,27.7662035,85.3438479
Residential,27.765885,85.3445383
Residential,27.7653903,85.3444271
Residential,27.7669562,85.3450969
Residential,27.7655052,85.344233
Residential,27.7654614,85.3442054
Residential,27.7665988,85.3441364
Residential,27.7667149,85.3441257
Residential,27.7658656,85.3445956
Residential,27.7664293,85.3462983
Residential,27.7663954,85.3461394
Residential,27.7658465,85.345201
Residential,27.7663468,85.3453117
Residential,27.76925,85.3477029
Residential,27.7661042,85.3464044
Residential,27.7668205,85.344715
Residential,27.767024,85.3461284
Residential,27.7673213,85.3451042
Residential,27.7671295,85.3443338
Residential,27.7666898,85.344294
Residential,27.76656,85.3445917
Residential,27.7741697,85.3547343
Residential,27.7729383,85.3532151
Residential,27.7747745,85.3539112
Residential,27.773338,85.3550962
Residential,27.7731774,85.3548176
Residential,27.7726379,85.3531956
Residential,27.7690994,85.3553207
Residential,27.7691583,85.3553085
Residential,27.7689906,85.3539057
Residential,27.768811,85.3539779
Residential,27.7686691,85.3538057
Residential,27.7743256,85.3534593
Residential,27.7737526,85.3525988
Residential,27.7716403,85.3530344
Residential,27.7712458,85.3531523
Residential,27.7703122,85.3538665
Residential,27.7704083,85.3538241
Residential,27.7704271,85.3537926
Residential,27.7692541,85.3552165
Residential,27.769155,85.3552788
Residential,27.7684713,85.35376
Residential,27.7691837,85.3552467
Residential,27.7733479,85.3528211
Residential,27.7730887,85.3524258
Residential,27.7708836,85.3482007
Residential,27.771341,85.348495
Residential,27.770711,85.3484982
Residential,27.7710737,85.3485649
Residential,27.7712426,85.3483898
Residential,27.7713612,85.3487756
Residential,27.7695127,85.3542822
Residential,27.7689619,85.3546594
Residential,27.7689747,85.3545412
Residential,27.7687786,85.355021
Residential,27.7692063,85.3540814
Residential,27.7691297,85.3541727
Residential,27.768522,85.3547293
Residential,27.769978,85.3481738
Residential,27.7709709,85.3483504
Residential,27.7709789,85.3482026
Residential,27.7712105,85.348335
Residential,27.7713587,85.3482039
Residential,27.7713591,85.348707
Residential,27.7726693,85.345766
Residential,27.7730174,85.3583604
Residential,27.7731175,85.3588405
Residential,27.7736879,85.3585749
Residential,27.7736334,85.3577433
Residential,27.7728292,85.3530489
Residential,27.7683737,85.3504145
Residential,27.7686372,85.3481621
Residential,27.7681785,85.3502065
Residential,27.7682231,85.3475102
Residential,27.7684408,85.3474849
Residential,27.7699923,85.3559829
Residential,27.7702776,85.3566295
Residential,27.7698876,85.3560066
Residential,27.7695099,85.3564188
Residential,27.7695186,85.356437
Residential,27.7700337,85.3561603
Residential,27.7653889,85.3455662
Residential,27.7730614,85.3582353
Residential,27.7731719,85.3588568
Residential,27.7731209,85.3587589
Residential,27.7741578,85.3578845
Residential,27.7733662,85.357571
Residential,27.775528,85.344055
Residential,27.7740124,85.3439182
Residential,27.7728593,85.3525255
Residential,27.7727192,85.35266
Residential,27.7704895,85.3539075
Residential,27.7703592,85.3536644
Residential,27.7705867,85.3535178
Residential,27.7704948,85.3526669
Residential,27.7705534,85.3523383
Residential,27.771217,85.3530561
Residential,27.7707549,85.350468
Residential,27.7706808,85.3504534
Residential,27.7778319,85.3490743
Residential,27.776796,85.3492186
Residential,27.7761682,85.3468305
Residential,27.7768159,85.3462213
Residential,27.7763611,85.3464287
Residential,27.7772452,85.3493286
Residential,27.7775806,85.3494546
Residential,27.7769143,85.3458487
Residential,27.776438,85.3490794
Residential,27.7771022,85.3485283
Residential,27.7773508,85.3489292
Residential,27.7769034,85.3492659
Residential,27.7767458,85.3460641
Residential,27.7761882,85.3477741
Residential,27.7774513,85.3487745
Residential,27.7767239,85.3460625
Residential,27.7774545,85.3492614
Residential,27.7764055,85.3463863
Residential,27.7770365,85.3492444
Residential,27.7777832,85.348411
Residential,27.7759716,85.3469759
Residential,27.7761176,85.3461713
Residential,27.7769983,85.349233
Residential,27.7767163,85.3464626
Residential,27.7768514,85.3465516
Residential,27.7762094,85.3463624
Residential,27.7761628,85.3465612
Residential,27.777142,85.3476354
Residential,27.777095,85.3491304
Residential,27.7769125,85.3493838
Residential,27.7763872,85.3467485
Residential,27.7757023,85.3466774
Residential,27.7771971,85.3489935
Residential,27.7774682,85.3492505
Residential,27.7772303,85.3494576
Residential,27.7770136,85.3462715
Residential,27.7773873,85.3498436
Residential,27.7772777,85.3474403
Residential,27.7696118,85.3558942
Residential,27.7699537,85.356206
Residential,27.7696036,85.3559954
Residential,27.7694833,85.3564933
Residential,27.769361,85.356238
Residential,27.7696596,85.355824
Residential,27.7694095,85.356277
Residential,27.7696894,85.355899
Residential,27.7697703,85.3559225
Residential,27.7700032,85.3559923
Residential,27.7754599,85.3443397
Residential,27.7709449,85.350562
Residential,27.7706383,85.3504268
Residential,27.7672067,85.340904
Residential,27.7675397,85.3441364
Residential,27.7670007,85.3412157
Residential,27.7682385,85.3411444
Residential,27.7674764,85.344043
Residential,27.7682557,85.3412713
Residential,27.7673887,85.3439519
Residential,27.7761536,85.3426077
Residential,27.7685095,85.3419275
Residential,27.7673711,85.3417991
Residential,27.7667699,85.3439932
Residential,27.765336,85.3417732
Residential,27.7657534,85.3423296
Residential,27.7657765,85.3422401
Residential,27.7686754,85.3414828
Residential,27.7682198,85.3409016
Residential,27.7686068,85.3480174
Residential,27.7686105,85.3478632
Residential,27.7686483,85.34791
Residential,27.7686301,85.34803
Residential,27.7686152,85.3479894
Residential,27.7685605,85.348666
Residential,27.768739,85.3481578
Residential,27.7666555,85.343766
Residential,27.7673645,85.3439998
Residential,27.7672657,85.3441449
